device_friendly_name,date_time,nbr_of_readings,pm_25,latitude,longitude
100th & Torrence (WB),2022-12-05,280,10.520800067987567,41.7136,-87.5602
106th & Ave D (WB),2022-12-05,267,12.875411725955203,41.70277166,-87.52829283
115th & Stewart (EB),2022-12-05,281,9.95592803030303,41.68517802886724,-87.63263004842011
137th & Brainard (NB),2022-12-05,266,9.176732542819499,41.6463031593152,-87.5429946962422
26th & Central Park (WB),2022-12-05,281,12.186452505827505,41.844493180392355,-87.71455502567271
26th ST & Kostner (WB),2022-12-05,282,12.574471396658895,41.84419,-87.7347
26th ST & Pulaski (WB),2022-12-05,277,11.462939652939653,41.8442,-87.7248
39TH & HALSTED (WB),2022-12-05,283,11.465339452214453,41.823715840223066,-87.6463462493363
39th & Damen (WB),2022-12-05,281,11.378130827505828,41.8231,-87.6753
47th & Halsted (WB),2022-12-05,278,18.038756264568764,41.8088,-87.6481
61st & King (WB),2022-12-05,279,10.033400543900543,41.7838,-87.6164
63RD STREET & STATE (EB) - 2,2022-12-05,278,13.902389520202021,41.779987,-87.625107001
63rd & Damen (WB),2022-12-05,280,12.698635951124055,41.7793,-87.6741
63rd & King Drive (EB),2022-12-05,284,10.292725087412586,41.78,-87.6168
63rd & Lamon (EB),2022-12-05,283,10.341207507770008,41.7782,-87.7438
63rd & Pulaski (EB),2022-12-05,282,14.045306325618824,41.7785,-87.7214
79th & Kostner (EB),2022-12-05,281,9.27923951048951,41.7491,-87.7302
95th & Wentworth (WB),2022-12-05,281,11.262773164335664,41.7218,-87.6287
ARCHER & THROOP (SB),2022-12-05,281,11.193973715554492,41.84339211596036,-87.6545815311069
Addison & Kennedy XWay (EB),2022-12-05,279,14.088481691919192,41.946406,-87.717897
Archer & Lavergne/LeClair (NEB),2022-12-05,278,10.721622474747475,41.797916,-87.747366
Archer & Mulligan/55th (NWB),2022-12-05,282,10.197136752136752,41.7924,-87.7818
Ashland & 43rd St (SB),2022-12-05,280,12.575117472804974,41.816041,-87.665311
Ashland & Belmont/Lincoln (NB),2022-12-05,283,12.646945415695415,41.939311,-87.668496
Ashland & Blackhawk (NB),2022-12-05,282,11.066998348873348,41.907237,-87.66745
Ashland & Pershing (SB),2022-12-05,279,12.087707022741588,41.823588,-87.665245
Ave O & 114th (NB),2022-12-05,281,9.255683420745921,41.688054,-87.539967
Belmont & Sheridan (WB),2022-12-05,277,12.120735479797979,41.94,-87.6402
Belmont & Western (WB),2022-12-05,262,10.795483436853003,41.939568,-87.688703
California & 26th (SB),2022-12-05,282,12.335254953379954,41.8451,-87.695204
California & Cermak (NB),2022-12-05,281,11.673338675213676,41.8523,-87.6954
California & Devon (SB),2022-12-05,280,10.002585955710956,41.99772,-87.69975
Central & Madison (NB),2022-12-05,258,12.15288864166137,41.8803,-87.7647
Central & Prescott (SB),2022-12-05,278,10.80497057576789,41.9924,-87.7654
