device_friendly_name,date_time,nbr_of_readings,pm_25,latitude,longitude
100th & Torrence (WB),2023-01-23,279,11.121132744898977,41.7136,-87.5602
106th & Ave D (WB),2023-01-23,278,12.60399936868687,41.70277166,-87.52829283
111th & Ellis (WB),2023-01-23,278,11.25420138888889,41.69288,-87.60507
115th & Stewart (EB),2023-01-23,279,11.92571022727273,41.68517802886724,-87.63263004842011
137th & Brainard (NB),2023-01-23,279,11.584977796535298,41.6463031593152,-87.5429946962422
26th & Central Park (WB),2023-01-23,278,13.343345713133765,41.844493180392355,-87.71455502567271
26th & Keeler (EB),2023-01-23,279,13.303090277777777,41.844104,-87.729633
26th ST & Kostner (WB),2023-01-23,279,12.568219696969697,41.84419,-87.7347
26th ST & Pulaski (WB),2023-01-23,278,12.405179924242425,41.8442,-87.7248
39TH & HALSTED (WB),2023-01-23,279,10.425880681818182,41.823715840223066,-87.6463462493363
39th & Damen (WB),2023-01-23,278,11.393383838383839,41.8231,-87.6753
39th & Sacramento (EB),2023-01-23,278,10.003544823232323,41.82263,-87.6997
47th & Halsted (WB),2023-01-23,277,12.397871212121212,41.8088,-87.6481
61st & King (WB),2023-01-23,272,11.495310816498316,41.7838,-87.6164
63RD STREET & STATE (EB) - 2,2023-01-23,278,13.18102601925532,41.779987,-87.625107001
63rd & Damen (WB),2023-01-23,279,11.634690414534674,41.7793,-87.6741
63rd & Lamon (EB),2023-01-23,279,11.74273092785267,41.7782,-87.7438
63rd & Peoria (EB),2023-01-23,279,12.03416351010101,41.7795,-87.6472
63rd & Pulaski (EB),2023-01-23,279,13.29686553030303,41.7785,-87.7214
69th St & Bell Ave (EB),2023-01-23,279,11.321799924397709,41.76834,-87.67968
79th & Kostner (EB),2023-01-23,278,10.419649621212121,41.7491,-87.7302
87th & Western (WB),2023-01-23,242,10.94779292929293,41.73565,-87.68222
95th & Wentworth (WB),2023-01-23,279,11.59005681818182,41.7218,-87.6287
ARCHER & THROOP (SB),2023-01-23,279,11.801300505050506,41.84339211596036,-87.6545815311069
Archer & Lavergne/LeClair (NEB),2023-01-23,279,12.237914656509053,41.797916,-87.747366
Archer & Mulligan/55th (NWB),2023-01-23,280,10.804117528597514,41.7924,-87.7818
Ashland & 37th (SB),2023-01-23,279,10.70662563131313,41.8267,-87.66561
Ashland & 43rd St (SB),2023-01-23,279,12.679105210015267,41.816041,-87.665311
Ashland & Belmont/Lincoln (NB),2023-01-23,278,12.021013361131303,41.939311,-87.668496
Ashland & Blackhawk (NB),2023-01-23,279,11.08756555269463,41.907237,-87.66745
Ashland & Pershing (SB),2023-01-23,278,12.265249368686868,41.823588,-87.665245
Ave O & 114th (NB),2023-01-23,265,11.022847167325427,41.688054,-87.539967
Belmont & Western (WB),2023-01-23,242,11.126506493506493,41.939568,-87.688703
Broadway & Wilson Ave (SWB),2023-01-23,278,11.956979166666668,41.965146,-87.657484
California & Devon (SB),2023-01-23,279,12.697218465997715,41.99772,-87.69975
Central & Madison (NB),2023-01-23,278,10.601047979797979,41.8803,-87.7647
Central & Prescott (SB),2023-01-23,279,10.011754727411752,41.9924,-87.7654
Central Park & Ogden (NB),2023-01-23,256,12.781866391184572,41.854286108203816,-87.71498342854358
Chicago & Hudson (WB),2023-01-23,272,11.733827020202021,41.896633,-87.639691
Cicero & Hubbard (NB),2023-01-23,279,10.932768308080808,41.8879,-87.7455
Clarendon & Montrose (SB),2023-01-23,280,10.219324494949495,41.961992,-87.649994
Commercial & 85 (NB),2023-01-23,279,11.100779671717172,41.7414,-87.5513
Commercial & 89th (SB),2023-01-23,279,11.552915399628455,41.733871,-87.551448
Cottage & 53rd (NB),2023-01-23,280,10.824717365967366,41.7985,-87.6062
Cottage Grove & 60th (SB),2023-01-23,279,11.822828282828283,41.78594895562553,-87.60616026597778
Cottage Grove & 83rd (SB),2023-01-23,279,10.639030934343435,41.7438,-87.6052
Cottage Grove & Pershing (SB),2023-01-23,256,8.679262979444799,41.824096,-87.607116
Division & Larrabee (EB),2023-01-23,264,12.067377417978616,41.903627,-87.643443
EPA Springfield Pump Station C,2023-01-23,279,11.03995265151515,41.912741,-87.722675
EPA Springfield Pump Station E,2023-01-23,278,12.268181818181818,41.912739,-87.722673
EPA Village Garage B,2023-01-23,280,11.021237373737373,41.670993,-87.732458
EPA Village Garage C,2023-01-23,279,11.059592803030304,41.670994,-87.732459
EPA Village Garage D,2023-01-23,279,10.553223344942536,41.670992,-87.732457
Fullerton & Pulaski (WB),2023-01-23,278,11.393890151515151,41.924611,-87.726561
Garfield & Aberdeen (WB),2023-01-23,279,12.335811237373738,41.794492874333386,-87.65276974912231
Grand & Laramie (EB),2023-01-23,279,12.507582070707072,41.9169,-87.756
Halsted & 111th (SB),2023-01-23,279,11.782582070707072,41.69244704,-87.64250468
Halsted & 74th St (SB),2023-01-23,279,13.432256944444445,41.759507,-87.644385
Halsted & 87th (SB),2023-01-23,278,11.50479797979798,41.7359,-87.6437
Harrison & Central (WB),2023-01-23,278,11.086972853535352,41.87288,-87.764879
Irving Park & Kildare (EB),2023-01-23,279,11.785697601010101,41.9533,-87.7354
Kedzie & 24th (SB),2023-01-23,279,11.894882389960033,41.8488,-87.7052
Kedzie & 53rd (SB),2023-01-23,279,12.11516414141414,41.7968,-87.7038
Kedzie & Lake (NB),2023-01-23,281,11.86119633838384,41.8838,-87.706
Kimball & Ardmore (SB),2023-01-23,279,10.809188762626263,41.9861,-87.7139
Laramie & Madison (SB),2023-01-23,279,10.867127525252526,41.880092,-87.754947
