device_friendly_name,date_time,nbr_of_readings,pm_25,latitude,longitude
100th & Torrence (WB),2023-03-06,279,11.029296085858585,41.7136,-87.5602
106th & Ave D (WB),2023-03-06,278,11.547566287878787,41.70277166,-87.52829283
115th & Stewart (EB),2023-03-06,279,12.091909722222221,41.68517802886724,-87.63263004842011
137th & Brainard (NB),2023-03-06,279,10.144756944444444,41.6463031593152,-87.5429946962422
26th & Central Park (WB),2023-03-06,279,14.757026515151516,41.844493180392355,-87.71455502567271
26th & Keeler (EB),2023-03-06,256,14.1214823510036,41.844104,-87.729633
26th ST & Kostner (WB),2023-03-06,278,13.994589646464647,41.84419,-87.7347
26th ST & Pulaski (WB),2023-03-06,278,14.155041035353536,41.8442,-87.7248
39TH & HALSTED (WB),2023-03-06,279,10.833096590909092,41.823715840223066,-87.6463462493363
39th & Damen (WB),2023-03-06,256,11.01392217630854,41.8231,-87.6753
47th & Halsted (WB),2023-03-06,279,13.0163952020202,41.8088,-87.6481
61st & King (WB),2023-03-06,276,11.252172979797981,41.7838,-87.6164
63RD STREET & STATE (EB) - 2,2023-03-06,278,13.909835858585858,41.779987,-87.625107001
63rd & Damen (WB),2023-03-06,279,12.789065656565656,41.7793,-87.6741
63rd & King Drive (EB),2023-03-06,245,11.315980004122862,41.78,-87.6168
63rd & Lamon (EB),2023-03-06,279,12.06499053030303,41.7782,-87.7438
63rd & Peoria (EB),2023-03-06,278,12.348731060606061,41.7795,-87.6472
63rd & Pulaski (EB),2023-03-06,279,13.767077020202022,41.7785,-87.7214
69th St & Bell Ave (EB),2023-03-06,279,10.71674558080808,41.76834,-87.67968
79th & Kostner (EB),2023-03-06,279,10.545820707070707,41.7491,-87.7302
87th & Western (WB),2023-03-06,230,10.320367424242423,41.73565,-87.68222
95th & Wentworth (WB),2023-03-06,279,10.742863005050504,41.7218,-87.6287
ARCHER & THROOP (SB),2023-03-06,279,12.418488005050506,41.84339211596036,-87.6545815311069
Archer & Lavergne/LeClair (NEB),2023-03-06,256,12.238584710743801,41.797916,-87.747366
Archer & Mulligan/55th (NWB),2023-03-06,279,12.237973484848487,41.7924,-87.7818
Ashland & 37th (SB),2023-03-06,280,11.213118686868688,41.8267,-87.66561
Ashland & 43rd St (SB),2023-03-06,279,14.21955808080808,41.816041,-87.665311
Ashland & Belmont/Lincoln (NB),2023-03-06,278,13.446164772727272,41.939311,-87.668496
Ashland & Blackhawk (NB),2023-03-06,277,12.154624368686868,41.907237,-87.66745
Ashland & Pershing (SB),2023-03-06,279,12.478390151515152,41.823588,-87.665245
Ave O & 114th (NB),2023-03-06,278,9.689311868686868,41.688054,-87.539967
Belmont & Sheridan (WB),2023-03-06,278,11.655375631313133,41.94,-87.6402
Belmont & Western (WB),2023-03-06,264,11.977847826086956,41.939568,-87.688703
Broadway & Wilson Ave (SWB),2023-03-06,252,10.526985507246376,41.965146,-87.657484
